ID,x,y,Ru,Rh,Pd,Ir,Pt,Resistance
1,27000,4500,0.323,0.133,0.281,0.113,0.15,1.4928
2,31500,4500,0.319,0.142,0.272,0.121,0.147,1.4824
3,36000,4500,0.321,0.149,0.255,0.129,0.146,1.4678
4,40500,4500,0.325,0.167,0.243,0.129,0.136,1.4495
5,45000,4500,0.324,0.189,0.22,0.133,0.133,1.4284
6,49500,4500,0.323,0.2,0.207,0.138,0.132,1.4035
7,54000,4500,0.314,0.216,0.205,0.141,0.124,1.3767
8,58500,4500,0.316,0.229,0.192,0.138,0.125,1.3467
9,63000,4500,0.32,0.241,0.181,0.137,0.121,1.3167
10,67500,4500,0.311,0.266,0.162,0.143,0.117,1.2869
11,72000,4500,0.311,0.282,0.15,0.136,0.121,1.2613
12,22500,9000,0.305,0.118,0.298,0.118,0.16,1.4829
13,27000,9000,0.299,0.136,0.287,0.124,0.154,1.4763
14,31500,9000,0.305,0.147,0.268,0.127,0.153,1.4655
15,36000,9000,0.307,0.158,0.252,0.134,0.149,1.4516
16,40500,9000,0.31,0.171,0.236,0.139,0.144,1.4348
17,45000,9000,0.309,0.186,0.224,0.142,0.139,1.4126
18,49500,9000,0.296,0.202,0.227,0.141,0.135,1.389
19,54000,9000,0.302,0.219,0.198,0.15,0.131,1.3609
20,58500,9000,0.298,0.232,0.188,0.155,0.127,1.3317
21,63000,9000,0.298,0.254,0.174,0.148,0.126,1.3
22,67500,9000,0.293,0.268,0.166,0.15,0.123,1.2684
23,72000,9000,0.282,0.291,0.157,0.152,0.118,1.2373
24,76500,9000,0.282,0.311,0.136,0.152,0.118,1.2158
25,18000,13500,0.285,0.116,0.313,0.118,0.167,1.4658
26,22500,13500,0.282,0.132,0.294,0.124,0.168,1.4634
27,27000,13500,0.29,0.139,0.278,0.131,0.163,1.4569
28,31500,13500,0.294,0.149,0.263,0.133,0.161,1.447
29,36000,13500,0.286,0.158,0.263,0.139,0.153,1.4335
30,40500,13500,0.295,0.185,0.233,0.138,0.149,1.4159
31,45000,13500,0.287,0.193,0.227,0.148,0.145,1.3952
